,attributedConversions14d,attributedConversions14dSameSKU,attributedConversions1d,attributedConversions1dSameSKU,attributedConversions30d,attributedConversions30dSameSKU,attributedConversions7d,attributedConversions7dSameSKU,attributedSales14d,attributedSales14dSameSKU,attributedSales1d,attributedSales1dSameSKU,attributedSales30d,attributedSales30dSameSKU,attributedSales7d,attributedSales7dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered1d,attributedUnitsOrdered30d,attributedUnitsOrdered7d,bidPlus,campaignBudget,campaignId,campaignName,campaignStatus,clicks,cost,impressions
40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,100,106873608603962,Lightning 2 Pack Auto,archived,0,0.0,0
41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,100,123456362543419,lightning 2 pack manual,paused,0,0.0,0
42,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,50,270329201364135,Type c exact manual,archived,0,0.0,0
43,1,0,1,0,1,0,1,0,23.99,0.0,23.99,0.0,23.99,0.0,23.99,0.0,1,1,1,1,False,50,96053032655072,3350 Portable charger auto,enabled,3,1.24,199
44,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,20,250922121520684,usb cable,paused,0,0.0,0
45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,100,151337184167619,type c cable manual 1 pack,enabled,1,0.93,195
46,18,13,16,12,18,13,18,13,431.82,311.87,383.84,287.88,431.82,311.87,431.82,311.87,18,16,18,18,True,224,80941779237222,iPhone x leather case manual,enabled,205,224.12,16388
47,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,20,134358165497751,universal travel adapter,archived,0,0.0,0
48,1,1,1,1,1,1,1,1,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,1,1,1,1,True,90,54846112529957,3350 Portable charger manual,enabled,5,6.15,3637
49,11,10,9,8,11,10,11,10,238.88,208.89,200.9,170.91,238.88,208.89,238.88,208.89,12,10,12,12,False,300,269492915958144,travel adapter manual,enabled,71,173.71,7359
50,6,4,5,4,6,4,6,4,125.94,71.96,97.95,71.96,125.94,71.96,125.94,71.96,6,5,6,6,False,406,32520377991508,Advertise Catalog,enabled,44,75.11,33894
51,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,10,99395938164399,Advertise Coupons,archived,0,0.0,0
52,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,15,75699340976866,Advertise Deals,archived,0,0.0,0
53,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,10,151218320942470,Advertise Excess FBA Inventory,archived,0,0.0,0
54,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,10,279950538008192,Advertise Items with Low Traffic,archived,0,0.0,0
55,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,10,69513836548451,Advertise New Products,archived,0,0.0,0
56,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,10,268409163288381,Advertise Top Selling Items,archived,0,0.0,0
57,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,20,104598868781990,type c 10ft manual,paused,0,0.0,0
58,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,30,200556436081846,type c 10ft auto,paused,0,0.0,0
59,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,60,151315342121737,travel adapter auto,enabled,0,0.0,568
60,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,60,109605675659941,micro usb manual,enabled,0,0.0,729
61,2,2,1,1,2,2,2,2,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,2,1,2,2,True,40,118189475990222,type c cable 10ft auto,enabled,31,38.16,25925
62,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,50,79059715848786,micro usb manual,archived,0,0.0,0
63,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,30,244824920152534,type c 3ft manual,archived,0,0.0,0
64,2,0,2,0,2,0,2,0,45.98,0.0,45.98,0.0,45.98,0.0,45.98,0.0,2,2,2,2,False,40,216060189431281,micro usb auto,enabled,18,21.23,13341
65,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,200,153233857527326,lightning 6ft exact,archived,0,0.0,0
66,6,5,3,3,6,5,5,4,150.94,132.95,77.97,77.97,150.94,132.95,124.95,106.96,6,3,6,5,True,110,194966030509958,48W 5 Port USB Charger Auto,enabled,71,111.59,40568
67,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,10,207128921638454,Surge Protector Auto,enabled,0,0.0,108
68,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,20,114165613447581,Surge Protector Manual,enabled,1,2.48,1246
69,13,12,11,10,13,12,13,12,341.87,311.88,289.89,259.9,341.87,311.88,341.87,311.88,13,11,13,13,True,260,184186402061279,48W 5 Port usb charger Manual,enabled,130,219.81,56191
70,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,5,129986902477932,48W Wall Charger Broad,paused,0,0.0,0
71,1,1,1,1,1,1,1,1,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,1,1,1,1,False,231,562640138560,type c 2 pack  6 ft Auto,enabled,24,28.56,12721
72,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,30,279592197780873,type c 2 pack 3ft  broad,paused,0,0.0,0
