,adGroupId,adGroupName,attributedConversions14d,attributedConversions14dSameSKU,attributedConversions1d,attributedConversions1dSameSKU,attributedConversions30d,attributedConversions30dSameSKU,attributedConversions7d,attributedConversions7dSameSKU,attributedSales14d,attributedSales14dSameSKU,attributedSales1d,attributedSales1dSameSKU,attributedSales30d,attributedSales30dSameSKU,attributedSales7d,attributedSales7dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered1d,attributedUnitsOrdered30d,attributedUnitsOrdered7d,campaignId,campaignName,clicks,cost,impressions
42,44556657044537,自动 - Micro B - 黑色 - 6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,157495890296470,自动 - micro b - 塑料头,0,0.0,0
43,255591500699422,Micro B 塑料头 6ft 红色,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30327910784110,自动 Micro B 塑料头,0,0.0,0
44,81336001046350,type c 6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,97734274882911,母亲节促销-手动广告,0,0.0,0
45,105790526150368,手动广泛-苹果金属-6ft-蓝色,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,118678522301649,手动-苹果-金属头,0,0.0,0
46,140220980262638,手动词组-苹果金属-6ft-蓝色,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,118678522301649,手动-苹果-金属头,0,0.0,0
47,36418119917964,(B07BBJDY5Y)micro 6ft black,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48275355591164,micro b 6ft auto,0,0.0,0
48,175422984803558,(B07B4L7GPV)手动-typec-金属头-蓝色-6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,182501285727992,type c blue manual,0,0.0,0
49,39768580039074,广告组 2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,182501285727992,type c blue manual,0,0.0,0
50,178904759352249,6ft usb c cable,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,157057615348077,usb c cable,0,0.0,0
51,275081124213716,3ft usb c cable,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,157057615348077,usb c cable,0,0.0,0
