,attributedConversions14d,attributedConversions14dSameSKU,attributedSales14d,attributedSales14dSameSKU,campaignId,campaignName,clicks,cost,impressions,keywordId,keywordText,matchType
320,0,0,0.0,0.0,144363125977934804,Lightning Headline 2 Pack,0,0.0,0,144144265049677581,apple lightning cable mfi certified,EXACT
321,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144153979762729242,iphone 7 cord,EXACT
322,0,0,0.0,0.0,144246044711029553,Lightning 1 pack/2 pack/10ft,0,0.0,0,144307531737439168,ipad charging cord,BROAD
323,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144187221110312580,iphone cord 6 feet,EXACT
324,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144247081294735065,iphone 6 plus charger,EXACT
325,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144308312287146342,iphone charger 6 foot,EXACT
326,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144341659937111154,lifetime warranty type c cable,BROAD
327,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144118538389285551,6ft iphone cord apple,EXACT
328,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144128443923425644,lifetime warranty usb c cable,BROAD
329,0,0,0.0,0.0,144385662719164127,Headline portable charger,0,0.0,0,144394138371116422,iphone 7 portable charger,EXACT
330,0,0,0.0,0.0,144246044711029553,Lightning 1 pack/2 pack/10ft,0,0.0,0,144294656648203762,iphone 8 plus charger cable,BROAD
331,0,0,0.0,0.0,144363125977934804,Lightning Headline 2 Pack,0,0.0,0,144215238570842034,iphone charger apple,EXACT
332,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144346709231593361,s8 plus chargers,EXACT
333,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144136539776536847,guaranteed usb c cable,BROAD
334,0,0,0.0,0.0,144247026959826085,headline-3350,0,0.0,0,144390339200944085,pocket sized battery pack,BROAD
335,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144187199923242049,iphone 7 mint green charger,EXACT
336,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144172217697990304,mfi certified usb c cable,BROAD
337,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144375965376130401,heavy charger for iphone 7 plus,EXACT
338,0,0,0.0,0.0,144246044711029553,Lightning 1 pack/2 pack/10ft,0,0.0,0,144131829669391353,long apple cable,PHRASE
339,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144195010188211101,replacement lightning cord,EXACT
340,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144236507297895019,braided charger cord for iphone x,EXACT
341,0,0,0.0,0.0,144247026959826085,headline-3350,0,0.0,0,144254417776561555,flashlight power bank,BROAD
342,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144263561259445168,charging cable iphone x 6ft,EXACT
343,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144310193855023567,6 ft iphone s max cable,EXACT
344,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144271698865291480,durable charger iphone,EXACT
345,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144351820976738081,apple iphone xs charger cable,EXACT
346,0,0,0.0,0.0,144275915069863599,Lightning 1 Pack Headline,0,0.0,0,144387574136621009,iphone charger,BROAD
347,0,0,0.0,0.0,144246044711029553,Lightning 1 pack/2 pack/10ft,0,0.0,0,144170452826066941,iphone xs charger cable,BROAD
348,0,0,0.0,0.0,144247026959826085,headline-3350,0,0.0,0,144361539659203994,pocket charger iphone,EXACT
349,0,0,0.0,0.0,144363125977934804,Lightning Headline 2 Pack,0,0.0,0,144336312881658633,certified apple cable,EXACT
350,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144334180146229151,iphone 7 plus braided charger,EXACT
351,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144289548884352807,usb c cable note 9,EXACT
352,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144351490216733103,charging cable iphone xr,EXACT
353,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144333364692864832,nylon braided iphone charger,EXACT
354,0,0,0.0,0.0,144234234208353843,Micro USB Headline,0,0.0,0,144168246395872216,htc charger,EXACT
355,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144341575245215876,usb type c cord 6foot,BROAD
356,0,0,0.0,0.0,144247026959826085,headline-3350,0,0.0,0,144233322684804306,cute portable charger,BROAD
357,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144180179382295831,phone charger for apple 7,EXACT
358,0,0,0.0,0.0,144246044711029553,Lightning 1 pack/2 pack/10ft,0,0.0,0,144177055832410552,iphone 5c charger cable,BROAD
359,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144382032463836676,iphone 6 foot charger cord,EXACT
360,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144389366717809596,apple iphone quick charger,EXACT
361,0,0,0.0,0.0,144234234208353843,Micro USB Headline,0,0.0,0,144358212476649276,htc one charging cable,EXACT
362,0,0,0.0,0.0,144363125977934804,Lightning Headline 2 Pack,0,0.0,0,144227536458420858,certified apple charger,EXACT
363,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144121836056843958,fast charging type c cable,BROAD
364,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144265553918053956,iphone x extended charger,EXACT
365,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144180188530605919,double braided lightning cable,EXACT
366,0,0,0.0,0.0,144234234208353843,Micro USB Headline,0,0.0,0,144285080956127823,lg charger cable,EXACT
367,0,0,0.0,0.0,144246044711029553,Lightning 1 pack/2 pack/10ft,0,0.0,0,144254318048984812,iphone xr charger cable,BROAD
368,0,0,0.0,0.0,144247026959826085,headline-3350,0,0.0,0,144146632605180044,mini portable charger,EXACT
369,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144121444297817171,6ft iphone cord apple,EXACT
370,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144376765489435643,samsung s9 plus,EXACT
371,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144232252737347643,long braided apple charger,EXACT
372,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144391115430904008,usb type c cord 6 foot,BROAD
373,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144131764455194869,iphone 6 phone 6ft charger,EXACT
374,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144366699885900479,quick charger type c cable,BROAD
375,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144178112909693903,apple iphone cord 6ft,EXACT
376,0,0,0.0,0.0,144363125977934804,Lightning Headline 2 Pack,0,0.0,0,144274142068770850,iphone charger cable 6ft,EXACT
377,0,0,0.0,0.0,144363125977934804,Lightning Headline 2 Pack,0,0.0,0,144240929103386626,iphone x max charger,EXACT
378,0,0,0.0,0.0,144247026959826085,headline-3350,0,0.0,0,144344569919554217,portable charger 3000mah,BROAD
379,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144185237362480497,type c cord 6 feet,BROAD
380,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144256066352366800,heavy charger for iphone 7 plus,EXACT
381,0,0,0.0,0.0,144234234208353843,Micro USB Headline,0,0.0,0,144214698738671611,lg android charger,EXACT
382,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144123945315116810,lightning cables,EXACT
383,0,0,0.0,0.0,144247026959826085,headline-3350,0,0.0,0,144315623451766105,ultra compact portable charger,EXACT
384,0,0,0.0,0.0,144234234208353843,Micro USB Headline,0,0.0,0,144339584314788107,kevlar usb cable,EXACT
385,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144302131826797665,iphone cord 6 feet,EXACT
386,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144294346094851544,iphone charger 6 foot,EXACT
387,0,0,0.0,0.0,144234234208353843,Micro USB Headline,0,0.0,0,144395668272781787,lg tablet charger cable,EXACT
388,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144145690590493577,apple x charger,EXACT
389,0,0,0.0,0.0,144377002898337630,Leather Case Headline,0,0.0,0,144127489732810192,iphone x leather vintage case,EXACT
390,0,0,0.0,0.0,144363125977934804,Lightning Headline 2 Pack,0,0.0,0,144376123886108081,apple certified lightning charger,EXACT
391,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144340971711112230,apple cable 6ft,EXACT
392,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144243722492584149,apple iphone xs charger apple certified,EXACT
393,0,0,0.0,0.0,144247026959826085,headline-3350,0,0.0,0,144158753799299036,mini power bank,BROAD
394,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144170877089408696,durable charger iphone,EXACT
395,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144154449262729179,apple xr charger,EXACT
396,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144255507473094165,apple 6 phone charger,EXACT
397,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144267778045839284,iphone xs max chargers,EXACT
398,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144381638950302124,lightning cable iphone,EXACT
399,0,0,0.0,0.0,144377002898337630,Leather Case Headline,0,0.0,0,144149203155760260,apple leather case iphone x,EXACT
400,0,0,0.0,0.0,144246044711029553,Lightning 1 pack/2 pack/10ft,0,0.0,0,144213776614669691,certified apple cable,BROAD
401,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144283164934933391,iphone 6 foot charger cord,EXACT
402,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144276760687079452,usb type c cable 6feet,BROAD
403,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144250535987660081,iphone cord,EXACT
