,attributedConversions14d,attributedConversions14dSameSKU,attributedConversions1d,attributedConversions1dSameSKU,attributedConversions30d,attributedConversions30dSameSKU,attributedConversions7d,attributedConversions7dSameSKU,attributedSales14d,attributedSales14dSameSKU,attributedSales1d,attributedSales1dSameSKU,attributedSales30d,attributedSales30dSameSKU,attributedSales7d,attributedSales7dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered1d,attributedUnitsOrdered30d,attributedUnitsOrdered7d,campaignId,campaignName,clicks,cost,impressions,targetId,targetingExpression,targetingText,targetingType
34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0,199521890312880,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
35,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0,216805411801894,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
36,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0,21348923943124,complements,complements,TARGETING_EXPRESSION_PREDEFINED
37,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0,24096149573570,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
38,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,0,0.0,0,173086905886375,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
39,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,0,0.0,0,235080872818614,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,0,0.0,0,199941282690268,complements,complements,TARGETING_EXPRESSION_PREDEFINED
41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,0,0.0,0,95958778049697,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
42,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,2,3.16,1564,40679647227868,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
43,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,0,0.0,94,194330083969860,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
44,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,0,0.0,0,78198390638154,complements,complements,TARGETING_EXPRESSION_PREDEFINED
45,4,4,4,4,4,4,4,4,71.96,71.96,71.96,71.96,71.96,71.96,71.96,71.96,4,4,4,4,32520377991508,Advertise Catalog,25,40.25,29835,25289629919068,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
46,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,266220536803884,iphone x case auto,0,0.0,0,200346222599702,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
47,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,266220536803884,iphone x case auto,0,0.0,0,67441889460106,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
48,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,266220536803884,iphone x case auto,0,0.0,0,85407584768815,complements,complements,TARGETING_EXPRESSION_PREDEFINED
49,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,266220536803884,iphone x case auto,0,0.0,0,96458444826261,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
50,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,0,0.0,0,129596538306510,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
51,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,4,6.29,1564,146499335257565,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
52,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,9,108669502305662,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
53,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0,160440474101971,complements,complements,TARGETING_EXPRESSION_PREDEFINED
54,7,2,7,2,7,2,7,2,133.93,33.98,133.93,33.98,133.93,33.98,133.93,33.98,7,7,7,7,163882395108605,lightning auto,61,104.48,78387,177569985904022,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
55,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,0,0.0,0,278493801185518,complements,complements,TARGETING_EXPRESSION_PREDEFINED
56,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,0,0.0,0,190661066543403,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
57,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,0,0.0,0,139561326106484,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
58,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,0,0.0,0,18872981218976,complements,complements,TARGETING_EXPRESSION_PREDEFINED
59,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,0,0.0,0,201244004400744,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
60,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,118189475990222,type c cable 10ft auto,0,0.0,0,57422620243598,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
